UV 1_280,UV 1_280,Cond,UV 2_214,Conc B,,UV 2_214,
ml,mAU,ml,mS/cm,ml,%,ml,mAU
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,%,UV 2_214 ml,mAU
0.209739,2.906645,0.452723,2.975908,2.397323,100,1.180285,52.492867
0.210572,2.906373,0.45439,2.975908,2.405654,100,1.184451,52.503967
0.211405,2.906293,0.456057,2.975947,2.413985,100,1.188617,52.506435
0.212239,2.906245,0.457723,2.975909,2.422316,100,1.192784,52.501282
0.213072,2.906202,0.45939,2.975924,2.430647,100,1.19695,52.503334
0.213905,2.906162,0.461056,2.975983,2.438977,100,1.201116,52.508743
0.214739,2.906123,0.462723,2.975968,2.447308,100,1.205283,52.520462
0.215572,2.906084,0.46439,2.975931,2.455639,100,1.209449,52.528297
0.216405,2.906126,0.466056,2.975904,2.46397,100,1.213615,52.539017
0.217238,2.906394,0.467723,2.975844,2.472301,100,1.217781,52.546486
0.218072,2.906735,0.469389,2.975759,2.480632,100,1.221948,52.540634
0.218905,2.907079,0.471056,2.975712,2.488963,100,1.226114,52.539085
0.219738,2.907403,0.472722,2.975695,2.497293,100,1.23028,52.55011
0.220572,2.907714,0.474389,2.975665,2.505625,100,1.234446,52.555836
0.221405,2.908026,0.476056,2.975635,2.513955,100,1.238613,52.554287
0.222238,2.908334,0.477722,2.975674,2.522286,100,1.242779,52.554066
0.223071,2.908437,0.479389,2.975704,2.530617,100,1.246945,52.559559
0.223905,2.908425,0.481055,2.975693,2.538948,100,1.251111,52.568417
0.224738,2.908392,0.482722,2.975685,2.547279,100,1.255278,52.56863
0.225571,2.908426,0.484389,2.975709,2.55561,100,1.259444,52.564602
0.226404,2.908695,0.486055,2.975729,2.563941,100,1.26361,52.576744
0.227238,2.909139,0.487722,2.975773,2.572271,100,1.267776,52.595474
0.228071,2.909581,0.489388,2.975809,2.580602,100,1.271943,52.619133
0.228904,2.909961,0.491055,2.975801,2.588933,100,1.276109,52.650509
0.229738,2.910132,0.492721,2.975776,2.597264,100,1.280275,52.683475
0.230571,2.910155,0.494388,2.975773,2.605595,100,1.284442,52.714043
