UV 1_280,UV 1_280,Cond,Cond,Conc B,Conc B
ml,mAU,ml,mS/cm,ml,%
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,Conc B %
0.279836,0.976852,0.581534,3.121611,3.014979,100
0.280669,0.976484,0.583201,3.121627,3.02331,100
0.281502,0.975951,0.584868,3.121608,3.031641,100
0.282335,0.975386,0.586534,3.121608,3.039973,100
0.283169,0.974824,0.588201,3.121618,3.048304,100
0.284002,0.974273,0.589868,3.121646,3.056636,100
0.284835,0.973625,0.591534,3.121608,3.064967,100
0.285668,0.972934,0.593201,3.121589,3.073298,100
0.286502,0.972235,0.594868,3.121542,3.08163,100
0.287335,0.971702,0.596534,3.121531,3.089961,100
0.288168,0.971295,0.598201,3.121509,3.098293,100
0.289001,0.97089,0.599867,3.121492,3.106624,100
0.289834,0.970485,0.601534,3.12148,3.114956,100
0.290668,0.970084,0.603201,3.12149,3.123287,100
0.291501,0.970129,0.604867,3.121465,3.131618,100
0.292334,0.970203,0.606534,3.121496,3.13995,100
0.293167,0.970278,0.608201,3.121464,3.148281,100
0.294001,0.970471,0.609867,3.12147,3.156613,100
0.294834,0.970699,0.611534,3.121443,3.164944,100
0.295667,0.970929,0.613201,3.121424,3.173275,100
0.2965,0.971159,0.614867,3.121456,3.181607,100
0.297334,0.971182,0.616534,3.121474,3.189938,100
0.298167,0.970986,0.618201,3.121469,3.19827,100
0.299,0.970785,0.619867,3.121429,3.206601,100
0.299833,0.970441,0.621534,3.121397,3.214932,100
0.300666,0.969766,0.6232,3.121417,3.223264,100
0.3015,0.969088,0.624867,3.121494,3.231595,100
0.302333,0.968403,0.626534,3.121533,3.239927,100
0.303166,0.967727,0.6282,3.121559,3.248258,100
0.303999,0.967402,0.629867,3.121584,3.25659,100
0.304833,0.967117,0.631534,3.121644,3.264921,100
0.305666,0.966853,0.6332,3.121647,3.273252,100
0.306499,0.966796,0.634867,3.121662,3.281584,100
